from,to,value
MeV.ImmuneDoublets.0,MeV.LowQuality.0,12
Neu.CSFcN.0,Imm.Proliferative.0,12
Neu.CSFcN.0,MeV.Fib.2,12
Neu.CSFcN.0,Neu.CSFcN.0,12
Neu.Epend.0,MeV.FibProlif.0,12
Neu.CSFcN.0,Imm.MHCII.0,12
MeV.Pericytes.0,MeV.FibCollagen.3,12
MeV.VLMC.0,MeV.Endothelial.2,12
Imm.M0Like.0,MeV.Fib.0,12
MeV.FibUnknown.6,MeV.Fib.1,12
Imm.M0Like.0,MeV.Epithelial.0,12
Neu.CSFcN.0,Imm.M0Like.0,12
Neu.CSFcN.0,MeV.LowQuality.0,12
MeV.Fib.2,Neu.Epend.0,11
MeV.Fib.4,Neu.Epend.0,11
MeV.Fib.5,Neu.Epend.0,11
MeV.FibProlif.0,Neu.Epend.0,11
MeV.FibCollagen.3,Imm.M0Like.1,11
MeV.VLMC.1,Imm.DAM.0,11
MeV.VLMC.1,Imm.M0Like.1,11
MeV.VLMC.1,Imm.M0Like.2,11
Imm.M0Like.1,Imm.DAM.1,11
MeV.VLMC.1,Imm.PVM.0,11
MeV.VLMC.1,MeV.Endothelial.1,11
MeV.VLMC.0,Imm.Interferon.0,11
MeV.Fib.0,Imm.Interferon.0,11
MeV.Fib.2,Imm.DAM.1,11
MeV.Fib.2,MeV.Fib.1,11
MeV.Fib.2,MeV.SMC.0,11
MeV.Fib.5,MeV.VLMC.0,11
MeV.FibCollagen.0,Imm.DAM.1,11
MeV.FibCollagen.0,MeV.Fib.1,11
MeV.Fib.2,MeV.Endothelial.0,11
MeV.Fib.4,Imm.M0Like.2,11
MeV.Fib.4,MeV.Endothelial.2,11
MeV.Fib.0,MeV.Endothelial.3,11
MeV.FibCollagen.2,MeV.Endothelial.2,11
Imm.M0Like.1,MeV.FibCollagen.1,11
MeV.VLMC.1,MeV.FibLaminin.0,11
MeV.VLMC.1,MeV.LowQuality.0,11
MeV.Fib.1,MeV.Pericytes.0,11
MeV.FibLaminin.0,Imm.M0Like.1,11
MeV.FibLaminin.0,Imm.PVM.0,11
MeV.Fib.5,Neu.CSFcN.0,11
MeV.FibLaminin.0,Imm.MHCII.0,11
Imm.M0Like.2,MeV.FibLaminin.0,11
MeV.FibUnknown.6,MeV.ImmuneDoublets.0,11
MeV.ImmuneDoublets.0,MeV.SMC.0,11
MeV.FibProlif.0,MeV.Pericytes.0,11
MeV.Pericytes.0,MeV.FibProlif.0,11
Neu.Epend.0,MeV.Fib.3,11
Imm.DAM.0,Neu.CSFcN.0,11
MeV.Epithelial.0,MeV.FibProlif.0,11
MeV.Fib.4,MeV.Fib.0,11
MeV.FibCollagen.1,Imm.DAM.1,11
MeV.FibCollagen.1,MeV.LowQuality.0,11
MeV.Pericytes.0,MeV.Epithelial.0,11
MeV.Pericytes.0,MeV.VLMC.0,11
MeV.Pericytes.0,MeV.VLMC.1,11
MeV.LowQuality.0,MeV.SMC.0,11
MeV.SMC.0,MeV.FibProlif.0,11
MeV.SMC.0,MeV.FibCollagen.0,11
MeV.Pericytes.0,MeV.FibCollagen.1,11
MeV.ImmuneDoublets.0,MeV.FibCollagen.0,11
MeV.LowQuality.0,MeV.Fib.2,11
MeV.ImmuneDoublets.0,MeV.Endothelial.1,11
MeV.ImmuneDoublets.0,MeV.Fib.3,11
MeV.Fib.0,MeV.Fib.2,11
MeV.FibCollagen.1,MeV.Fib.4,11
MeV.Fib.1,MeV.FibLaminin.0,11
MeV.FibCollagen.0,MeV.FibLaminin.0,11
Imm.M0Like.0,MeV.Pericytes.0,11
MeV.FibCollagen.1,Imm.M0Like.0,11
MeV.FibCollagen.1,MeV.Fib.0,11
MeV.LowQuality.0,MeV.Fib.3,10
MeV.LowQuality.0,MeV.LowQuality.0,10
MeV.Endothelial.0,Imm.DAM.1,10
MeV.FibCollagen.2,Imm.DAM.1,10
Imm.DAM.1,Imm.DAM.1,10
Imm.DAM.1,MeV.VLMC.1,10
MeV.FibCollagen.1,MeV.Endothelial.0,10
MeV.Epithelial.0,MeV.Endothelial.0,10
MeV.Fib.5,MeV.Fib.1,10
MeV.Fib.5,MeV.Fib.4,10
MeV.Fib.5,MeV.SMC.0,10
MeV.FibCollagen.3,MeV.Fib.1,10
MeV.FibUnknown.6,MeV.FibCollagen.0,10
MeV.Fib.1,MeV.Fib.2,10
Imm.M0Like.0,MeV.Fib.1,10
Imm.M0Like.0,MeV.FibCollagen.1,10
MeV.VLMC.0,MeV.FibUnknown.6,10
MeV.VLMC.0,MeV.LowQuality.0,10
MeV.FibCollagen.0,Imm.M0Like.0,10
MeV.FibCollagen.3,Imm.M0Like.2,10
MeV.FibLaminin.0,MeV.Fib.5,10
MeV.Epithelial.0,MeV.Endothelial.2,10
MeV.Fib.2,MeV.Endothelial.2,10
Imm.M0Like.2,MeV.Fib.0,10
MeV.ImmuneDoublets.0,MeV.FibProlif.0,10
MeV.ImmuneDoublets.0,MeV.FibUnknown.6,10
MeV.Pericytes.0,Imm.M0Like.2,10
MeV.Pericytes.0,MeV.FibLaminin.0,10
Neu.CSFcN.0,MeV.Fib.5,10
Imm.DAM.1,Imm.M0Like.0,10
MeV.Pericytes.0,MeV.Pericytes.0,10
MeV.ImmuneDoublets.0,MeV.Pericytes.0,10
MeV.Pericytes.0,MeV.SMC.0,10
MeV.FibCollagen.2,MeV.SMC.0,10
Imm.DAM.1,MeV.FibLaminin.0,10
MeV.Fib.4,MeV.LowQuality.0,10
MeV.ImmuneDoublets.0,MeV.Fib.4,10
MeV.ImmuneDoublets.0,MeV.VLMC.0,10
MeV.Endothelial.0,Neu.CSFcN.0,10
MeV.ImmuneDoublets.0,MeV.FibCollagen.2,10
MeV.Fib.1,MeV.Fib.0,10
MeV.FibCollagen.3,MeV.FibLaminin.0,10
MeV.Pericytes.0,Neu.CSFcN.0,10
Imm.Interferon.0,MeV.FibUnknown.6,10
Imm.M0Like.0,MeV.FibLaminin.0,10
