from,to,value
MeV.FibUnknown.6,MeV.Fib.4,12
MeV.FibUnknown.6,MeV.FibLaminin.0,12
MeV.FibUnknown.6,MeV.Pericytes.0,16
MeV.FibUnknown.6,MeV.VLMC.0,9
MeV.FibUnknown.6,Neu.CSFcN.0,24
MeV.ImmuneDoublets.0,MeV.FibLaminin.0,3
MeV.ImmuneDoublets.0,MeV.LowQuality.0,3
MeV.ImmuneDoublets.0,MeV.Pericytes.0,9
MeV.LowQuality.0,Imm.PVM.0,9
MeV.LowQuality.0,MeV.Fib.0,13
MeV.LowQuality.0,MeV.Fib.3,18
MeV.LowQuality.0,MeV.FibLaminin.0,10
MeV.LowQuality.0,MeV.VLMC.0,10
MeV.Pericytes.0,Imm.DAM.1,5
MeV.Pericytes.0,Imm.Interferon.0,9
MeV.Pericytes.0,Imm.M0Like.1,6
MeV.Pericytes.0,Imm.M0Like.2,10
MeV.Pericytes.0,Imm.PVM.0,7
MeV.Pericytes.0,MeV.Fib.3,18
MeV.Pericytes.0,MeV.FibLaminin.0,11
MeV.Pericytes.0,MeV.Pericytes.0,12
MeV.Pericytes.0,Neu.CSFcN.0,13
Neu.CSFcN.0,Imm.DAM.0,16
Neu.CSFcN.0,Imm.DAM.1,9
Neu.CSFcN.0,Imm.Interferon.0,11
Neu.CSFcN.0,Imm.M0Like.2,3
Neu.CSFcN.0,Imm.MHCII.0,9
Neu.CSFcN.0,Imm.PVM.0,9
Neu.CSFcN.0,MeV.Endothelial.2,4
Neu.CSFcN.0,MeV.Endothelial.3,7
Neu.CSFcN.0,MeV.Fib.0,12
Neu.CSFcN.0,MeV.Fib.1,7
Neu.CSFcN.0,MeV.Fib.2,12
Neu.CSFcN.0,MeV.Fib.3,18
Neu.CSFcN.0,MeV.Fib.4,11
Neu.CSFcN.0,MeV.Fib.5,11
Neu.CSFcN.0,MeV.FibCollagen.0,5
Neu.CSFcN.0,MeV.FibCollagen.1,17
