from,to,value
MeV.Epithelial.0,MeV.Endothelial.3,30
MeV.Epithelial.0,MeV.FibCollagen.2,36
MeV.Epithelial.0,MeV.VLMC.1,47
MeV.Epithelial.0,MeV.FibLaminin.0,40
MeV.Epithelial.0,MeV.VLMC.0,39
MeV.Epithelial.0,MeV.Fib.3,30
MeV.Epithelial.0,MeV.FibUnknown.6,29
MeV.Epithelial.0,MeV.LowQuality.0,23
MeV.Epithelial.0,Imm.M0Like.0,20
MeV.Epithelial.0,MeV.Endothelial.1,18
MeV.Epithelial.0,MeV.Fib.2,33
MeV.Epithelial.0,MeV.FibCollagen.0,41
MeV.Epithelial.0,MeV.Fib.0,38
MeV.Epithelial.0,MeV.Fib.1,46
MeV.Epithelial.0,MeV.Endothelial.2,18
MeV.Epithelial.0,MeV.FibCollagen.3,46
MeV.Pericytes.0,Imm.M0Like.1,16
MeV.Pericytes.0,Imm.M0Like.2,25
MeV.Pericytes.0,Imm.DAM.0,11
MeV.Pericytes.0,Imm.MHCII.0,10
MeV.Pericytes.0,Imm.Interferon.0,16
MeV.Pericytes.0,MeV.ImmuneDoublets.0,16
MeV.Pericytes.0,Imm.PVM.0,20
MeV.Pericytes.0,Imm.DAM.1,14
MeV.Pericytes.0,Imm.Proliferative.0,5
MeV.Pericytes.0,Neu.CSFcN.0,52
MeV.Pericytes.0,Neu.Epend.0,43
MeV.Pericytes.0,MeV.Epithelial.0,40
MeV.Pericytes.0,MeV.Pericytes.0,18
MeV.Pericytes.0,MeV.Endothelial.0,18
MeV.Pericytes.0,MeV.SMC.0,24
MeV.Pericytes.0,MeV.FibCollagen.1,34
MeV.Pericytes.0,MeV.Fib.5,40
MeV.Pericytes.0,MeV.Fib.4,31
MeV.Pericytes.0,MeV.FibProlif.0,30
MeV.Pericytes.0,MeV.Endothelial.3,18
MeV.Pericytes.0,MeV.FibCollagen.2,34
MeV.Pericytes.0,MeV.VLMC.1,39
MeV.Pericytes.0,MeV.FibLaminin.0,37
MeV.Pericytes.0,MeV.VLMC.0,34
MeV.Pericytes.0,MeV.Fib.3,39
MeV.Pericytes.0,MeV.FibUnknown.6,44
MeV.Pericytes.0,MeV.LowQuality.0,40
MeV.Pericytes.0,Imm.M0Like.0,30
MeV.Pericytes.0,MeV.Endothelial.1,33
MeV.Pericytes.0,MeV.Fib.2,40
MeV.Pericytes.0,MeV.FibCollagen.0,40
MeV.Pericytes.0,MeV.Fib.0,39
MeV.Pericytes.0,MeV.Fib.1,32
MeV.Pericytes.0,MeV.Endothelial.2,22
MeV.Pericytes.0,MeV.FibCollagen.3,40
MeV.Endothelial.0,Imm.M0Like.1,15
MeV.Endothelial.0,Imm.M0Like.2,17
MeV.Endothelial.0,Imm.DAM.0,17
MeV.Endothelial.0,Imm.MHCII.0,13
MeV.Endothelial.0,Imm.Interferon.0,11
MeV.Endothelial.0,MeV.ImmuneDoublets.0,12
MeV.Endothelial.0,Imm.PVM.0,17
MeV.Endothelial.0,Imm.DAM.1,21
MeV.Endothelial.0,Imm.Proliferative.0,5
MeV.Endothelial.0,Neu.CSFcN.0,36
MeV.Endothelial.0,Neu.Epend.0,34
MeV.Endothelial.0,MeV.Epithelial.0,20
MeV.Endothelial.0,MeV.Pericytes.0,18
MeV.Endothelial.0,MeV.Endothelial.0,7
MeV.Endothelial.0,MeV.SMC.0,13
MeV.Endothelial.0,MeV.FibCollagen.1,25
MeV.Endothelial.0,MeV.Fib.5,19
MeV.Endothelial.0,MeV.Fib.4,25
MeV.Endothelial.0,MeV.FibProlif.0,17
MeV.Endothelial.0,MeV.Endothelial.3,18
MeV.Endothelial.0,MeV.FibCollagen.2,23
MeV.Endothelial.0,MeV.VLMC.1,25
MeV.Endothelial.0,MeV.FibLaminin.0,21
MeV.Endothelial.0,MeV.VLMC.0,24
MeV.Endothelial.0,MeV.Fib.3,19
MeV.Endothelial.0,MeV.FibUnknown.6,20
MeV.Endothelial.0,MeV.LowQuality.0,16
MeV.Endothelial.0,Imm.M0Like.0,15
MeV.Endothelial.0,MeV.Endothelial.1,16
MeV.Endothelial.0,MeV.Fib.2,23
MeV.Endothelial.0,MeV.FibCollagen.0,26
MeV.Endothelial.0,MeV.Fib.0,21
MeV.Endothelial.0,MeV.Fib.1,25
MeV.Endothelial.0,MeV.Endothelial.2,14
MeV.Endothelial.0,MeV.FibCollagen.3,26
MeV.SMC.0,Imm.M0Like.1,6
MeV.SMC.0,Imm.M0Like.2,9
MeV.SMC.0,Imm.DAM.0,5
MeV.SMC.0,Imm.MHCII.0,2
MeV.SMC.0,Imm.Interferon.0,8
MeV.SMC.0,MeV.ImmuneDoublets.0,17
MeV.SMC.0,Imm.PVM.0,5
MeV.SMC.0,Imm.DAM.1,7
MeV.SMC.0,Imm.Proliferative.0,2
MeV.SMC.0,Neu.CSFcN.0,36
MeV.SMC.0,Neu.Epend.0,27
MeV.SMC.0,MeV.Epithelial.0,36
MeV.SMC.0,MeV.Pericytes.0,24
MeV.SMC.0,MeV.Endothelial.0,13
MeV.SMC.0,MeV.SMC.0,12
MeV.SMC.0,MeV.FibCollagen.1,26
MeV.SMC.0,MeV.Fib.5,26
MeV.SMC.0,MeV.Fib.4,20
MeV.SMC.0,MeV.FibProlif.0,31
MeV.SMC.0,MeV.Endothelial.3,19
MeV.SMC.0,MeV.FibCollagen.2,28
MeV.SMC.0,MeV.VLMC.1,38
MeV.SMC.0,MeV.FibLaminin.0,26
MeV.SMC.0,MeV.VLMC.0,34
MeV.SMC.0,MeV.Fib.3,18
MeV.SMC.0,MeV.FibUnknown.6,18
MeV.SMC.0,MeV.LowQuality.0,16
MeV.SMC.0,Imm.M0Like.0,11
MeV.SMC.0,MeV.Endothelial.1,15
MeV.SMC.0,MeV.Fib.2,21
MeV.SMC.0,MeV.FibCollagen.0,26
MeV.SMC.0,MeV.Fib.0,20
MeV.SMC.0,MeV.Fib.1,30
MeV.SMC.0,MeV.Endothelial.2,9
MeV.SMC.0,MeV.FibCollagen.3,34
MeV.FibCollagen.1,Imm.M0Like.1,7
MeV.FibCollagen.1,Imm.M0Like.2,9
MeV.FibCollagen.1,Imm.DAM.0,10
MeV.FibCollagen.1,Imm.MHCII.0,5
MeV.FibCollagen.1,Imm.Interferon.0,7
MeV.FibCollagen.1,MeV.ImmuneDoublets.0,17
MeV.FibCollagen.1,Imm.PVM.0,6
MeV.FibCollagen.1,Imm.DAM.1,7
MeV.FibCollagen.1,Imm.Proliferative.0,5
MeV.FibCollagen.1,Neu.CSFcN.0,55
MeV.FibCollagen.1,Neu.Epend.0,45
MeV.FibCollagen.1,MeV.Epithelial.0,43
MeV.FibCollagen.1,MeV.Pericytes.0,34
MeV.FibCollagen.1,MeV.Endothelial.0,25
MeV.FibCollagen.1,MeV.SMC.0,26
MeV.FibCollagen.1,MeV.FibCollagen.1,8
MeV.FibCollagen.1,MeV.Fib.5,21
MeV.FibCollagen.1,MeV.Fib.4,21
MeV.FibCollagen.1,MeV.FibProlif.0,33
MeV.FibCollagen.1,MeV.Endothelial.3,37
MeV.FibCollagen.1,MeV.FibCollagen.2,17
MeV.FibCollagen.1,MeV.VLMC.1,40
MeV.FibCollagen.1,MeV.FibLaminin.0,24
MeV.FibCollagen.1,MeV.VLMC.0,30
MeV.FibCollagen.1,MeV.Fib.3,23
MeV.FibCollagen.1,MeV.FibUnknown.6,24
MeV.FibCollagen.1,MeV.LowQuality.0,21
MeV.FibCollagen.1,Imm.M0Like.0,21
MeV.FibCollagen.1,MeV.Endothelial.1,19
MeV.FibCollagen.1,MeV.Fib.2,25
MeV.FibCollagen.1,MeV.FibCollagen.0,22
MeV.FibCollagen.1,MeV.Fib.0,22
MeV.FibCollagen.1,MeV.Fib.1,38
MeV.FibCollagen.1,MeV.Endothelial.2,17
MeV.FibCollagen.1,MeV.FibCollagen.3,43
MeV.Fib.5,Imm.M0Like.1,10
